title,author,journal,year,source,status,reason
RUM++: A Log Mining Approach to Classify Users Based on Data Profile,"Baldochi, Helton Franco de SousaLeandro Guarino de VasconcelosLaercio A",16th International Conference on Information Technology-New Generations (ITNG 2019),2019,Springer Link,Rejected,Study that does not address gamification
SafeTransit: A Transit Safety Information Gathering Decision System,"Odumuyiwa, Korede Oluwafemi LawrenceVictor",e-Infrastructure and e-Services for Developing Countries,2018,Springer Link,Rejected,Study that does not address gamification
Summary and Conclusions,"Lee, Samuel Kai Wah ChuRebecca B ReynoldsNicole J TavaresMichele NotariCelina Wing Yi",21st Century Skills Development Through Inquiry-Based Learning,2017,Springer Link,Rejected,Study that does not address gamification
sbv IMPROVER: Modern Approach to Systems Biology,"Guryanova, Svetlana GuryanovaAnna",Biological Networks and Pathway Analysis,2017,Springer Link,Rejected,Study that does not address gamification
SciencOmat: A Gamified Research Platform for Evaluating Visual Attractiveness,"Bodendorf, Christian ZagelAlexander PiazzaYoan PetrovFreimut",Advances in The Human Side of Service Engineering,2018,Springer Link,Duplicated,
SCIENTIFIC ABSTRACTS,,Journal of General Internal Medicine,2018,Springer Link,Rejected,Study that does not address gamification
Super Alpha: Arabic Alphabet Learning Serious Game for Children with Learning Disabilities,"Abdelrahman, Jailan SalahSlim AbdennadherCaroline SabtyYomna",Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
Scientific Session of the 16th World Congress of Endoscopic Surgery,,Jointly Hosted by Society of American Gastrointestinal and Endoscopic Surgeons (SAGES) {\&} Canadian Association of General Surgeons (CAGS),2018,Springer Link,Rejected,Study that does not address gamification
Search and Discovery Through Human Computation,"Lanckriet, Albert Yu-Min LinAndrew HuynhLuke BarringtonGert",Handbook of Human Computation,2013,Springer Link,Rejected,Study that does not address gamification
Searching and Exploring Data in a Software Architecture for Film-Induced Tourism,"Orio, Sandro SavinoNicola",Digital Libraries and Multimedia Archives,2017,Springer Link,Rejected,Study that does not address gamification
Symbiosis: An Innovative Human-Computer Interaction Environment for Alzheimer's Support,"Hadjileontiadis, Dimitris MandiliotisKostas ToumpasKaterina KypriotiKiki KazaJo{ã}o BarrosoLeontios J",Universal Access in Human-Computer Interaction. User and Context Diversity,2013,Springer Link,Rejected,Study that does not address gamification
Second International Workshop on Gamification for Information Retrieval (GamifIR'15),"Shovman, Frank HopfgartnerGabriella KazaiUdo KruschwitzMichael MederMark",Advances in Information Retrieval,2015,Springer Link,Rejected,Study that does not address gamification
Segmentation in Social Marketing: Five Steps to Success,"Dietrich, Timo",Segmentation in Social Marketing,2017,Springer Link,Rejected,Study that does not address gamification
Self-Conscious Support on Walking Posture Through Mobile Avatar: Focusing on Women's Frailty Prevention Toward Old Age,"Hirose, Masayuki AnekawaAtsushi HiyamaSachiko KamiyamaMichitaka",Universal Access in Human-Computer Interaction. Users and Context Diversity,2016,Springer Link,Rejected,Study that does not address gamification
Sustainable Business Model Ideation and Development of Early Ideas for Sustainable Business Models: Analyzing a New Tool Facilitating the Ideation Process,"M{ä}kinen, Ulla A SaariLeena Aarikka-StenroosLeena K{ö}pp{ä}J{ö}rg LangwaldtStina BoedekerSaku J",Sustainable Business Models,2019,Springer Link,Rejected,Study that does not address gamification
Self-Enhancement,"Przegalinska, Aleksandra",Wearable Technologies in Organizations,2019,Springer Link,Rejected,Study that does not address gamification
Sell Your City,"Klein, Gabe",Start-Up City,2015,Springer Link,Rejected,Study that does not address gamification
Selling your soul while negotiating the conditions: from notice and consent to data control by design,"Louzada, Luca BelliMolly SchwartzLuiza",Health and Technology,2017,Springer Link,Rejected,Study that does not address gamification
Semantic Modeling of Cascading Risks in Interoperable Socio-technical Systems,"Villani, Alex ColettiAntonio De NicolaGiordano VicoliMaria Luisa",Enterprise Interoperability VIII,2019,Springer Link,Rejected,Study that does not address gamification
A Summary of Methods for Measuring Delay Discounting in Young Children,"Reed, Johanna L StaubitzBlair P LloydDerek D",The Psychological Record,2018,Springer Link,Rejected,Study that does not address gamification
Sensation Seeking,"Zhao, Xiaowen FangFan",Self Forgetfulness,2009,Springer Link,Rejected,Study that does not address gamification
Sensing the Environment,"Botteldooren, Jan TheunisMatthias StevensDick",Participatory Sensing,2017,Springer Link,Rejected,Study that does not address gamification
Serendipity as an emerging design principle of the infosphere: challenges and opportunities,"Reviglio, Urbano",Ethics and Information Technology,2019,Springer Link,Rejected,Study that does not address gamification
A Survey on Educational Ontologies and Their Development Cycle,"Foufou, AbdelGhani KarkarJihad Mohamad Al Ja'amSebti",Product Lifecycle Management in the Era of Internet of Things,2016,Springer Link,Rejected,Study that does not address gamification
Serious electronic games as behavioural change interventions in healthcare-associated infections and infection prevention and control: a scoping review of the literature and future directions,"Holmes, Enrique Castro-S{á}nchezYiannis KyratsisMichiyo IwamiTimothy M RawsonAlison H",Antimicrobial Resistance {\&} Infection Control,2016,Springer Link,Duplicated,
Serious Games — What,"Routledge, Helen",Why,2016,Springer Link,Rejected,Study that does not address gamification
Serious Games Adoption in Organizations – An Exploratory Analysis,"Azadegan, Johann C K H RiedelYanan FengAida",Scaling up Learning for Sustained Impact,2013,Springer Link,Rejected,Study that does not address gamification
Serious Games Analytics: Theoretical Framework,"Ifenthaler, Christian Sebastian LohYanyan ShengDirk",Serious Games Analytics,2015,Springer Link,Rejected,Study that does not address gamification
Social Marketing as a Framework for Youth Physical Activity Initiatives: a 10-Year Retrospective on the Legacy of CDC's VERB Campaign,"Edgar, Marian HuhmanRyan P KellyTimothy",Current Obesity Reports,2017,Springer Link,Rejected,Study that does not address gamification
Serious Games and Sustainability,"Guti{é}rrez-P{é}rez, Tania OuariachiMar{{́i}}a Dolores Olvera-LoboJos{é}",Encyclopedia of Sustainability in Higher Education,2019,Springer Link,Rejected,Study that does not address gamification
Serious Games Architectures and Engines,"Streicher, Heinrich S{ö}bkeAlexander",Entertainment Computing and Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
Strategic Management Innovation of Urban Green Spaces for Sustainable Community Development,"Hammer, Jos{é} G Vargas-Hern{á}ndezKarina PallagstPatricia",Handbook of Engaged Sustainability,2018,Springer Link,Duplicated,
The Serious Games Ecosystem: Interdisciplinary and Intercontextual Praxis,"Matthews, Phil WilkinsonThomas Joseph",Entertainment Computing and Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
Serious Games in a European Policy Context,"Petersen, Igor MayerJohann C K H RiedelJannicke Baalsrud HaugeFrancesco BellottiAlessandro de GloriaMichela OttSobah Abbas",Serious Games Development and Applications,2013,Springer Link,Rejected,Study that does not address gamification
Serious Games Integration in an Entrepreneurship Massive Online Open Course (MOOC),"Usart, Margarida RomeroMireia",Serious Games Development and Applications,2013,Springer Link,Rejected,Study that does not address gamification
STUDY B: Exploring an engaging work environment for Innovation Contests,"H{ö}ber, Bj{ö}rn",Firm Internal Innovation Contests,2017,Springer Link,Rejected,Study that does not address gamification
Serious Games—Economic and Legal Issues,"Egenfeldt-Nielsen, Stefan G{ö}belOliver HugoMichael Kickmeier-RustSimon",Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
A Serious-Game Framework to Improve Physician/Nurse Communication,"Lewis, Marjorie ZielkeSusan HoustonMary Elizabeth ManciniGary HardeeLouann ColeDjakhangir ZakhidovUte FischerTimothy",Virtual,2015,Springer Link,Rejected,Study that does not address gamification
Service Coopetition – Dienstleistungen im Spannungsfeld von Wettbewerb und Kooperation,"Hadwich, Manfred BruhnKarsten",Kooperative Dienstleistungen,2019,Springer Link,Rejected,Study that does not address gamification
Subject Index,"Ebbinghaus, Gert H M{ü}llerHeinz-Dieter",$\Omega$-Bibliography of Mathematical Logic,1987,Springer Link,Rejected,Study that does not address gamification
Service Model Innovation in Hospitals: Beyond Expert Organizations,"Floyd, Christoph RascheTiziana MargariaBarry D",Service Business Model Innovation in Healthcare and Hospital Management,2017,Springer Link,Rejected,Study that does not address gamification
Shaping Behaviours Through Space and Place in Gamified Virtual Learning Environments,"Clear, Da ZhangTony",Gamification in Education and Business,2015,Springer Link,Rejected,Study that does not address gamification
Shifting from the Children to the Teens' Usability: Adapting a Gamified Experience of a Museum Tour,"Nisi, Vanessa Ces{á}rioMarko RadetaAnt{ó}nio CoelhoValentina",Human-Computer Interaction – INTERACT 2017,2017,Springer Link,Rejected,Study that does not address gamification
Social interaction for efficient agent learning from human reward,"Hung, Guangliang LiShimon WhitesonW. Bradley KnoxHayley",Autonomous Agents and Multi-Agent Systems,2018,Springer Link,Duplicated,
Shifting Left,"Lively, Dave HarrisonKnox",Achieving DevOps,2019,Springer Link,Rejected,Study that does not address gamification
Shifting Virtual Reality Education to the Next Level – Experiencing Remote Laboratories Through Mixed Reality,"Jeschke, Max HoffmannTobias MeisenSabina",Engineering Education 4.0,2016,Springer Link,Duplicated,
‘Shining a Digital Light on the Dark': Harnessing Online Media to Improve the Dark Tourism Experience,"Simone-Charteris, Peter BolanMaria",The Palgrave Handbook of Dark Tourism Studies,2018,Springer Link,Rejected,Study that does not address gamification
Smart Mobility,"Gould, Diego PajaritoMichael",the Role of Mobile Games,2017,Springer Link,Rejected,Study that does not address gamification
The Social Interaction Experiences of Older People in a 3D Virtual Environment,"Ang, Panote SiriarayaChee Siang",Perspectives on Human-Computer Interaction Research with Older People,2019,Springer Link,Rejected,Study that does not address gamification
Smartphones,"Nii, Paula Alexandra SilvaKelly HoldenAska",Smart Seniors,2014,Springer Link,Rejected,Study that does not address gamification
Social Customer Relationship Management,"Looy, Amy Van",Social Media Management,2016,Springer Link,Rejected,Study that does not address gamification
Social debt in software engineering: insights from industry,"van Vliet, Damian A TamburriPhilippe KruchtenPatricia LagoHans",Journal of Internet Services and Applications,2015,Springer Link,Rejected,Study that does not address gamification
The Study of the Relations between the BrainHex Player Profiles,"Alves, Rafael Eduardo PaulinAndr{é} Luiz BattaiolaM{á}rcia Maria",MBTI Psychological Types and Emotions as Means to Enhance User Experience,2014,Springer Link,Rejected,Study that does not address gamification
Social Entrepreneurship for Obesity Prevention: What Are the Opportunities?,"Ammerman, Tosha Woods SmithLarissa CalancieAlice",Current Obesity Reports,2015,Springer Link,Rejected,Study that does not address gamification
The Social Enterprise: From Recruiting to Problem Solving and Collaboration,"Lai, Efraim TurbanJudy StraussLinda",Social Commerce,2016,Springer Link,Rejected,Study that does not address gamification
Stress-Mentor: Linking Gamification and Behavior Change Theory in a Stress Management Application,"Bleser, Corinna A ChristmannAlexandra HoffmannGregor ZolynskiGabriele",HCI International 2018 – Posters' Extended Abstracts,2018,Springer Link,Rejected,Study that does not address gamification
Students' Success in the Bebras Challenge in Lithuania: Focus on a Long-Term Participation,"Dagienė, Gabrielė StupurienėLina VinikienėValentina",Informatics in Schools: Improvement of Informatics Knowledge and Perception,2016,Springer Link,Rejected,Study that does not address gamification
Social Enterprise and Other Social Commerce Topics,"Turban, Efraim TurbanJon OutlandDavid KingJae Kyu LeeTing-Peng LiangDeborrah C",Electronic Commerce 2018,2018,Springer Link,Rejected,Study that does not address gamification
Social Enterprise and Other Social Commerce Topics,"Outland, Efraim TurbanJudy WhitesideDavid KingJon",Introduction to Electronic Commerce and Social Commerce,2017,Springer Link,Duplicated,
Student Facing Dashboards: One Size Fits All?,"Teasley, Stephanie D",Technology,2017,Springer Link,Rejected,Study that does not address gamification
Ontolex JeuxDeMots and Its Alignment to the Linguistic Linked Open Data Cloud,"Todorov, Andon TchechmedjievTh{é}ophile MandonMathieu LafourcadeAnne LaurentKonstantin",The Semantic Web – ISWC 2017,2017,Springer Link,Rejected,Study that does not address gamification
Some Thoughts on Gathering Response Processes Validity Evidence in the Context of Online Measurement and the Digital Revolution,"Hubley, Lara B RussellAnita M",Understanding and Investigating Response Processes in Validation Research,2017,Springer Link,Rejected,Study that does not address gamification
Starting with Microservices,"Macero, Moises",Learn Microservices with Spring Boot,2017,Springer Link,Rejected,Study that does not address gamification
The STEP Project: Societal and Political Engagement of Young People in Environmental Issues,"Symeonidou, Maria VogiatziChristodoulos KeratidisManos SchinasSotiris DiplarisSerdar Y{ü}ml{ü}Paula ForbesSymeon PapadopoulosPanagiota SyropoulouLazaros ApostolidisIoannis KompatsiarisMachi",Internet Science,2017,Springer Link,Rejected,Study that does not address gamification
A Statistical Mechanics Approach for a Rigidity Problem,"Vericat, Alejandro Mes{ó}nFernando",Journal of Statistical Physics,2007,Springer Link,Rejected,Study that does not address gamification
SousChef: Improved Meal Recommender System for Portuguese Older Adults,"de Barros, David RibeiroJorge RibeiroMaria Jo{ã}o M VasconcelosElsa F VieiraAna Correia",Information and Communication Technologies for Ageing Well and e-Health,2018,Springer Link,Rejected,Study that does not address gamification
A Specialised Social Network Software Architecture for Efficient Household Water Use Management,"Capiluppi, Zhenchen WangAndrea",Software Architecture,2015,Springer Link,Rejected,Study that does not address gamification
A special issue on knowledge and competence management: Developing Enterprise solutions,"Rocha, Jos{é} Braga de VasconcelosChris Kimble{Á}lvaro",Information Systems Frontiers,2016,Springer Link,Rejected,Study that does not address gamification
Operationalization and Measurement of Evaluation Constructs,"Wendel, Katharina EmmerichNatalya BogachevaMareike BockholtViktor",Entertainment Computing and Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
Social Patterns,"Lewis, Chris",Irresistible Apps,2014,Springer Link,Rejected,Study that does not address gamification
Software Development Processes for Games: A Systematic Literature Review,"O'Connor, Ann Osborne O'HaganGerry ColemanRory V",Systems,2014,Springer Link,Rejected,Study that does not address gamification
Software Developer's Journey,"Clarke, Murat YilmazBerke AtasoyRory V O'ConnorJean-Bernard MartensPaul",Systems,2016,Springer Link,Rejected,Study that does not address gamification
The Opportunities and Challenges of Using Digital Learning Environments in Educational Organizations,"Camargo-Borges, Karena MorrisonCeliane",Reimagining the Purpose of Schools and Educational Organisations,2016,Springer Link,Rejected,Study that does not address gamification
Social Networking Sites and Language Education,"Reinhardt, Jonathon",Language,2017,Springer Link,Rejected,Study that does not address gamification
Social Media Services Ecosystem for Marginalized Youth to Access Adult Education,"Paas, Kai PataSille",Learning Technology for Education Challenges,2019,Springer Link,Rejected,Study that does not address gamification
A mixed methods approach to developing and evaluating oncology trainee education around minimization of adverse events and improved patient quality and safety,"Harnett, Anna JanssenTim ShawLauren BradburyTania MoujaberAnne Mette NørrelykkeJessica A ZerilloAnn LaCasceJohn Patrick T CoTracy RobinsonAlison StarrPaul",BMC Medical Education,2016,Springer Link,Rejected,Study that does not address gamification
Mobile Exergaming for Health—Effects of a serious game application for smartphones on physical activity and exercise adherence in type 2 diabetes mellitus—study protocol for a randomized controlled trial,"Schmidt-Trucks{ä}ss, Christoph H{ö}chsmannSteffen P WalzJuliane Sch{ä}ferJussi HolopainenHenner HanssenArno",Trials,2017,Springer Link,Rejected,Study that does not address gamification
Motivational Design in an Intelligent Tutoring System that Helps Students Make Good Task Selection Decisions,"Aleven, Yanjin LongZachary AmanVincent",Artificial Intelligence in Education,2015,Springer Link,Rejected,Study that does not address gamification
New Knowledge for a New Planet: Critical Pedagogy in and for the Anthropocene,"Jandric, Petar",Learning in the Age of Digital Reason,2017,Springer Link,Rejected,Study that does not address gamification
„Occupational eMental Health“ in der Lehrergesundheit,"Ebert, Prof. Dr. Dirk LehrElena HeberBernhard SielandAndreas HillertBurkhardt FunkDavid Daniel",Pr{ä}vention und Gesundheitsf{ö}rderung,2016,Springer Link,Rejected,Study that does not address gamification
On the Synergies Between Business Process Management and Digital Innovation,"Looy, Amy Van",Business Process Management,2018,Springer Link,Rejected,Study that does not address gamification
Offline 4.0 – Die Neuerfindung des station{ä}ren Handels,"Heinemann, Prof. Dr. Gerrit",Dienstleistungen 4.0,2017,Springer Link,Rejected,Study that does not address gamification
New Zealand,"Pilditch, Russell ColeConrad",Coastal Ecology,2018,Springer Link,Duplicated,
THE “NUTS AND BOLTS” OF BEHAVIORAL INTERVENTION DEVELOPMENT: STUDY DESIGNS,,METHODS AND FUNDING OPPORTUNITIES,2017,Springer Link,Rejected,Study that does not address gamification
NFC Smart City: Cities of the Future—A Scenario Technique Application,"Egger, Emre RonayRoman",Information and Communication Technologies in Tourism 2014,2013,Springer Link,Rejected,Study that does not address gamification
A Motivational Design of a Flipped Classroom on Collaborative Programming and STEAM,"Paraskeva, Vasiliki KarampaFotini",Learning Technology for Education Challenges,2018,Springer Link,Rejected,Study that does not address gamification
Networked Care: IT-Assisted Tools (Wearable Sensors) for Patients at Risk,"Sendler, Kurt J G SchmailzlHans H Th.",Boundaryless Hospital,2016,Springer Link,Rejected,Study that does not address gamification
A New Informatics Curriculum for Secondary Education in The Netherlands,"Tolboom, Erik BarendsenNata{š}a GrgurinaJos",Informatics in Schools: Improvement of Informatics Knowledge and Perception,2016,Springer Link,Rejected,Study that does not address gamification
(Neurobiology of) Dementia: Causes,"David, David BensamounAur{é}lie MoutonEric EttorePhilippe RobertRenaud",Presentation,2017,Springer Link,Duplicated,
A Multi-disciplinary Approach in the Development of a Stroke Rehabilitation Tool,"Borg, Marie Sj{ö}linderMaria EhnInga-Lill BomanMia FolkeP{ä}r HanssonDisa SommerfeldStina NylanderJ{ö}rgen",Human-Computer Interaction. Applications and Services,2014,Springer Link,Rejected,Study that does not address gamification
“Nee,"Gevers, Linda VerhaakCarolien",niet weer een nieuw protocol!”,2014,Springer Link,Rejected,Study that does not address gamification
My Pain Coach: A Mobile System with Tangible Interface for Pain Assessment,"Mugellini, Maurizio CaonLeonardo AngeliniKatharina LedermannChantal Martin-S{ö}lchOmar Abou KhaledElena",Proceedings of the 20th Congress of the International Ergonomics Association (IEA 2018),2019,Springer Link,Rejected,Study that does not address gamification
Mobile Health: Telemedicine's Latest Wave but This Time It's for Real,"Rose, Kyle J",The Digitization of Healthcare,2017,Springer Link,Rejected,Study that does not address gamification
Model Reuse,"Veautour, Osman BalciGeorge L BallKatherine L MorseErnest PageMikel D PettyAndreas TolkSandra N",Composition,2017,Springer Link,Rejected,Study that does not address gamification
MOOCers and shakers and chemistry course takers,"Warr, Wendy A",Journal of Computer-Aided Molecular Design,2016,Springer Link,Rejected,Study that does not address gamification
Motivating and Involving Users Through Gamification: A Proposal,"Micheletti, Andrea",Digital Libraries and Multimedia Archives,2017,Springer Link,Duplicated,
MOOCs vs MMOGs,"Tan, Chek Tien",Proceedings of the International Conference on Managing the Asian Century,2013,Springer Link,Rejected,Study that does not address gamification
Modeling Distance Decay Within Valuation Meta-Analysis,"Holland, Robert J JohnstonElena Y BesedinBenedict M",Environmental and Resource Economics,2019,Springer Link,Rejected,Study that does not address gamification
ModRule: A User-Centric Mass Housing Design Platform,"Gao, Tian Tian LoMarc Aurel SchnabelYan",Computer-Aided Architectural Design Futures. The Next City - New Technologies and the Future of the Built Environment,2015,Springer Link,Rejected,Study that does not address gamification
Modelling of Static and Moving Objects: Digitizing Tangible and Intangible Cultural Heritage,"Ioannides, Nikolaos DoulamisAnastasios DoulamisCharalabos IoannidisMichael KleinMarinos",Mixed Reality and Gamification for Cultural Heritage,2017,Springer Link,Rejected,Study that does not address gamification
Mobile Learning and Higher Education,"Gloerfeld, Claudia de WittChristina",The Digital Turn in Higher Education,2018,Springer Link,Rejected,Study that does not address gamification
Mobile Web 2.0 Tools and Applications in Online Training and Tutoring,"Palkova, Zuzana",Handbook of Mobile Teaching and Learning,2019,Springer Link,Rejected,Study that does not address gamification
A model for collecting and analyzing action data in a learning process based on activity theory,"Moon, Kyungrog KimNammee",Soft Computing,2018,Springer Link,Rejected,Study that does not address gamification
Mobile-Assisted Language Learning: How Gamification Improves the Learning Experience,"de Andrade, Izabel Rego",Handbook of Mobile Teaching and Learning,2019,Springer Link,Rejected,Study that does not address gamification
Mobile Learning in K-12 Education: Personal Meets Systemic,"Turner, John",Mobile Learning Design,2016,Springer Link,Rejected,Study that does not address gamification
Mobile Social Media Marketing in Tourism,"Minazzi, Roberta",Social Media Marketing in Tourism and Hospitality,2015,Springer Link,Rejected,Study that does not address gamification
Mobile learning system for enabling collaborative and adaptive pedagogies with modular digital learning contents,"Boti{č}ki, Tomislav Jagu{š}tIvica",Journal of Computers in Education,2019,Springer Link,Rejected,Study that does not address gamification
Programmer Preoccupations,"Gleeson, Patrick",Working with Coders,2017,Springer Link,Rejected,Study that does not address gamification
Data Analytics of IoT Enabled Smart Energy Meter in Smart Cities,"Khosla, Kiran AhujaArun",Cloud Computing for Geospatial Big Data Analytics,2019,Springer Link,Rejected,Study that does not address gamification
Data Acquisition for the Geometric Documentation of Cultural Heritage,"Georgopoulos, Andreas",Mixed Reality and Gamification for Cultural Heritage,2017,Springer Link,Rejected,Study that does not address gamification
Das Schweigen der L{ä}mmer? Internationales Personalmanagement und die großen gesellschaftlichen Fragen – Pl{ä}doyer f{ü}r eine Neuorientierung,"Mayrhofer, Wolfgang",Personalmanagement,2018,Springer Link,Rejected,Study that does not address gamification
Das Potential von Veranstaltungs-Apps zur Beeinflussung des Brand Meanings von Destinationsmarken am Beispiel des Rheinland-Pfalz-Tages,"Drengner, Jan",Events und Marke,2018,Springer Link,Rejected,Study that does not address gamification
Das externe Umfeld als Initiator,"Sposato, Daniela Freudenthaler-MayrhoferTeresa",Corporate Design Thinking,2017,Springer Link,Rejected,Study that does not address gamification
Das Einsatzspektrum: Beispiele f{ü}r unternehmerische Think Tanks,"Poguntke, Sven",Corporate Think Tanks,2019,Springer Link,Rejected,Study that does not address gamification
Das Einsatzspektrum: Beispiele f{ü}r unternehmerische Think Tanks,"Poguntke, Sven",Corporate Think Tanks,2016,Springer Link,Duplicated,
The Dark Side of Gamification: An Overview of Negative Effects of Gamification in Education,"Isotani, Armando M TodaPedro H D ValleSeiji",Higher Education for All. From Challenges to Novel Technology-Enhanced Solutions,2018,Springer Link,Duplicated,
DanceDanceThumb: Tablet App for Rehabilitation for Carpal Tunnel Syndrome,"Sugimoto, Takuro WatanabeYuta SugiuraNatsuki MiyataKoji FujitaAkimoto NimuraMaki",Entertainment Computing – ICEC 2017,2017,Springer Link,Rejected,Study that does not address gamification
Daily Fantasy Football and Self-Reported Problem Behavior in the United States,"Drayer, Brendan DwyerStephen L ShapiroJoris",Journal of Gambling Studies,2018,Springer Link,Rejected,Study that does not address gamification
CyFiT telehealth: protocol for a randomised controlled trial of an online outpatient physiotherapy service for children with cystic fibrosis,"Johnston, Ray Lei LangChristine WilsonKellie StocktonTrevor RussellLeanne Marie",BMC Pulmonary Medicine,2019,Springer Link,Rejected,Study that does not address gamification
Cybersecurity Training in Medical Centers: Leveraging Every Opportunity to Convey the Message,"Stanford, Newton LeeRay BalutJean C",Counterterrorism and Cybersecurity,2015,Springer Link,Rejected,Study that does not address gamification
Cyber-Physical Systems for Knowledge and Expertise Sharing in Manufacturing Contexts: Towards a Model Enabling Design,"Wulf, Sven HoffmannAparecido Fabiano Pinatti de CarvalhoDarwin AbeleMarcus SchweitzerPeter TolmieVolker",Computer Supported Cooperative Work (CSCW),2019,Springer Link,Rejected,Study that does not address gamification
Cyber Aggression and Cyberbullying: Widening the Net,"Corcoran, John M HylandPauline K HylandLucie",Cyber Criminology,2018,Springer Link,Rejected,Study that does not address gamification
Customer-Oriented Strategies and Gamification—The Example of Open Customer Innovation,"Lattemann, Susanne Robra-BissantzChristoph",Gamification,2017,Springer Link,Rejected,Study that does not address gamification
Customer preferences in mobile game pricing: a service design based case study,"Kumar, J Tuomas HarviainenJukka OjasaloSomasundaram Nanda",Electronic Markets,2018,Springer Link,Rejected,Study that does not address gamification
Current Technologies and Their Uses at Empire State College,"Hurley, Betty",Principles,2017,Springer Link,Rejected,Study that does not address gamification
Cultural heritage in a changing world,"Bertacchini, Enrico",Journal of Cultural Economics,2017,Springer Link,Rejected,Study that does not address gamification
Cultural and Creative Industries: An Overview,"L{ó}pez-Sieben, Marta Peris-OrtizJaime A GomezMonica",Cultural and Creative Industries,2019,Springer Link,Rejected,Study that does not address gamification
Cultivating Good Citizens,"Collin, Philippa",Young Citizens and Political Participation in a Digital Society,2015,Springer Link,Rejected,Study that does not address gamification
CSR und Crowdsourcing,"Wagner, Claudia PelzerRiccardo",CSR und Social Media,2014,Springer Link,Rejected,Study that does not address gamification
A crowdsourcing-based game for land cover validation,"Venkatachalam, Maria Antonia BrovelliIrene CelinoAndrea FianoMonia Elisa MolinariVijaycharan",Applied Geomatics,2018,Springer Link,Rejected,Study that does not address gamification
Crowdsourcing: a new tool for policy-making?,"Taeihagh, Araz",Policy Sciences,2017,Springer Link,Rejected,Study that does not address gamification
Context-Sensitive User-Centered Scalability: An Introduction Focusing on Exergames and Assistive Systems in Work Contexts,"Konrad, Oliver KornMichael BrachAlbrecht SchmidtThomas H{ö}rzRobert",E-Learning and Games for Training,2012,Springer Link,Rejected,Study that does not address gamification
Crisis Crowdsourcing Framework: Designing Strategic Configurations of Crowdsourcing for the Emergency Management Domain,"Liu, Sophia B",Computer Supported Cooperative Work (CSCW),2014,Springer Link,Rejected,Study that does not address gamification
Tailoring real-time physical activity coaching systems: a literature survey and model,"Hermens, Harm op den AkkerValerie M JonesHermie J",User Modeling and User-Adapted Interaction,2014,Springer Link,Rejected,Study that does not address gamification
Exploring the Potential of Open Badges in Blog-Based University Courses,"Laanpere, Hans P{õ}ldojaMart",New Horizons in Web Based Learning,2014,Springer Link,Rejected,Study that does not address gamification
Online learning readiness and attitudes towards gaming in gamified online learning – a mixed methods case study,"Bastiaens, Klaudia BovermannJoshua WeidlichTheo",International Journal of Educational Technology in Higher Education,2018,Springer Link,Duplicated,
Process Evaluation of the BOOST-A™ Transition Planning Program for Adolescents on the Autism Spectrum: A Strengths-Based Approach,"Ciccarelli, Megan HatfieldMarita FalkmerTorbj{ö}rn FalkmerMarina",Journal of Autism and Developmental Disorders,2018,Springer Link,Rejected,Study that does not address gamification
People Analytics in Software Development,"German, Leif SingerMargaret-Anne StoreyFernando Figueira FilhoAlexey ZagalskyDaniel M",Grand Timely Topics in Software Engineering,2017,Springer Link,Rejected,Study that does not address gamification
A Parallel Universe: Psychological Science in the Language of Game Design,"Richman, Thomas E HeinzenMichael S GordonR. Eric LandrumRegan A R GurungDana S DunnSam",Gamification in Education and Business,2015,Springer Link,Duplicated,
A Link Between Worlds: Towards a Conceptual Framework for Bridging Player and Learner Roles in Gamified Collaborative Learning Contexts,"Isotani, Simone S BorgesRiichiro MizoguchiVinicius H S DurelliIg. I BittencourtSeiji",Advances in Social Computing and Digital Education,2016,Springer Link,Rejected,Study that does not address gamification
Gamification: a systematic review of design frameworks,"Arnedo-Moreno, Alberto MoraDaniel RieraCarina Gonz{á}lezJoan",Journal of Computing in Higher Education,2017,Springer Link,Duplicated,
Using Video Game Patterns to Raise the Intrinsic Motivation to Conduct Accessibility Evaluations,"Zimmermann, Alexander HenkaAndreas StieglerGottfried",Advances in Ergonomics in Design,2016,Springer Link,Rejected,Study that does not address gamification
The effect of badges on the engagement of students with special educational needs: A case study,"Mavropoulou, Ourania SitraVangelis KatsigiannakisCharalampos KaragiannidisSofia",Education and Information Technologies,2017,Springer Link,Rejected,Study that does not address gamification
Learning strategies as a mediator for motivation and a sense of achievement among students who study in MOOCs,"Cohen, Noga Magen-NagarLizi",Education and Information Technologies,2017,Springer Link,Rejected,Study that does not address gamification
Impact of Motivation,"Samardzhiev, Maya StoyanovaDaniela TuparovaKostadin",Gamification and Learning Style on Students' Interest in Maths Classes – A Study in 11 High School Grade,2018,Springer Link,Rejected,Study that does not address gamification
A Taxonomy of Serious Games for Dementia,"Boletsis, Simon McCallumCostas",Games for Health,2013,Springer Link,Rejected,Study that does not address gamification
Adaptive User Interface and User Experience Based Authoring Tool for Recommendation Systems,"Lee, Jamil HussainWajahat Ali KhanMuhammad AfzalMaqbool HussainByeong Ho KangSungyoung",Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services,2014,Springer Link,Rejected,Study that does not address gamification
